source_url,brand,model,generation,body_type,launch_year,price_min_inr,price_max_inr,price_min_lakh,price_max_lakh,fuel_type,transmission,engine_cc_min,engine_cc_max,power_bhp_min,power_bhp_max,torque_nm_min,torque_nm_max,mileage_kmpl,range_km,battery_kwh,seating_capacity,airbags,safety_rating,boot_space_litres,ground_clearance_mm,drive_type,n_variants,customer_rating,review_count,scraped_at,price_mid_lakh,engine_cc,power_bhp,torque_nm,fuel_primary,transmission_primary,price_segment,mileage_ice
https://www.cardekho.com/mg/comet-ev,MG Motor,Comet EV,current,Hatchback,2025.0,499000.0,763300.0,4.99,7.63,Electric,Automatic,,,41.42,41.42,,,,230.0,17.4,4.0,2.0,,350.0,,Rear,6,4.3,238.0,2026-08-30T06:41:14+00:00,6.3100000000000005,,41.42,,Electric,Automatic,Entry (<8L),
https://www.cardekho.com/mg/cyberster,MG Motor,Cyberster,current,Convertible,2026.0,8249800.0,8749000.0,82.5,87.49,Electric,Automatic,,,510.0,510.0,725.0,725.0,,580.0,77.0,2.0,4.0,,,,All,2,4.7,53.0,2026-08-30T06:41:15+00:00,84.995,,510.0,725.0,Electric,Automatic,Luxury (50L+),
https://www.cardekho.com/mg/gloster,MG Motor,Gloster,current,Suv,2024.0,3260000.0,3260000.0,32.6,32.6,,8AT,1996.0,1996.0,158.79,158.79,373.5,373.5,13.92,,,6.0,6.0,,,210.0,Front,0,4.3,138.0,2026-08-30T05:57:50+00:00,32.6,1996.0,158.79,373.5,,8At,Premium (25-50L),
https://www.cardekho.com/mg/gloster-2020-2022,MG Motor,Gloster 2020-2022,gloster-2020-2022,Suv,2020.0,3150000.0,3150000.0,31.5,31.5,,,1996.0,1996.0,160.77,160.77,375.0,375.0,14.5,,,7.0,6.0,,,,Front,0,4.1,75.0,2026-08-30T05:57:51+00:00,31.5,1996.0,160.77,375.0,,,Premium (25-50L),
https://www.cardekho.com/mg/hector,MG Motor,Hector,current,Suv,2025.0,1199000.0,1919000.0,11.99,19.19,Petrol,"Manual, Automatic",1451.0,1451.0,141.04,141.04,250.0,250.0,13.79,,,5.0,6.0,,587.0,,Front,7,4.4,353.0,2026-08-30T05:57:53+00:00,15.59,1451.0,141.04,250.0,Petrol,Both,Mid (15-25L),13.79
https://www.cardekho.com/mg/hector-2021-2023,MG Motor,Hector 2021-2023,hector-2021-2023,Suv,2021.0,1417000.0,1417000.0,14.17,14.17,,,1451.0,1956.0,141.0,167.68,250.0,350.0,,,,5.0,2.0,,,192.0,Front,0,4.0,180.0,2026-08-30T05:57:54+00:00,14.17,1703.5,154.34,300.0,,,Mass (8-15L),
https://www.cardekho.com/mg/hector-plus,MG Motor,Hector Plus,current,Suv,2025.0,1749000.0,1969000.0,17.49,19.69,Petrol,"Manual, Automatic",1451.0,1451.0,141.04,141.04,250.0,250.0,13.79,,,7.0,6.0,,587.0,,Front,3,4.3,164.0,2026-08-30T05:57:55+00:00,18.59,1451.0,141.04,250.0,Petrol,Both,Mid (15-25L),13.79
https://www.cardekho.com/mg/hector-plus-2020-2023,MG Motor,Hector Plus 2020-2023,hector-plus-2020-2023,Suv,2021.0,1374000.0,1374000.0,13.74,13.74,Diesel / Petrol,,1451.0,1956.0,141.0,167.67,250.0,350.0,16.65,,,7.0,2.0,,,,,0,4.2,83.0,2026-08-30T05:57:57+00:00,13.74,1703.5,154.33499999999998,300.0,Diesel,,Mass (8-15L),16.65
https://www.cardekho.com/mg/m9,MG Motor,M9,current,Muv,2026.0,7994800.0,8494000.0,79.95,84.94,Electric,Automatic,,,242.0,242.0,350.0,350.0,,548.0,90.0,7.0,7.0,,,,Front,2,4.7,19.0,2026-08-30T06:41:17+00:00,82.445,,242.0,350.0,Electric,Automatic,Luxury (50L+),
https://www.cardekho.com/mg/majestor,MG Motor,Majestor,current,Suv,2026.0,4249000.0,4499000.0,42.49,44.99,Diesel,Automatic,1996.0,1996.0,213.0,213.0,478.0,478.0,,,,7.0,6.0,,343.0,219.0,Front,3,5.0,9.0,2026-08-30T05:58:05+00:00,43.74,1996.0,213.0,478.0,Diesel,Automatic,Premium (25-50L),
https://www.cardekho.com/mg/windsor-ev,MG Motor,Windsor EV,current,Muv,2024.0,1469800.0,1899800.0,14.7,19.0,Electric,Automatic,,,134.0,134.0,,,,390.5,45.5,5.0,6.0,,604.0,186.0,Front,5,4.6,118.0,2026-08-30T06:41:18+00:00,16.85,,134.0,,Electric,Automatic,Mid (15-25L),
https://www.cardekho.com/mg/zs-ev,MG Motor,ZS EV,current,Suv,2024.0,1799000.0,2074600.0,17.99,20.75,Electric,Automatic,,,174.33,174.33,,,,461.0,50.3,5.0,6.0,,488.0,,Front,7,4.2,128.0,2026-08-30T06:41:19+00:00,19.369999999999997,,174.33,,Electric,Automatic,Mid (15-25L),
https://www.cardekho.com/mg/zs-ev-2020-2022,MG Motor,ZS EV 2020-2022,zs-ev-2020-2022,Suv,2020.0,2200000.0,2200000.0,22.0,22.0,,ARAI Range,,,136.0,136.0,395.0,395.0,,,,5.0,6.0,,,,,0,4.3,49.0,2026-08-30T05:58:09+00:00,22.0,,136.0,395.0,,Arai Range,Mid (15-25L),
https://www.cardekho.com/mini/cooper-s,Mini,Cooper S,current,Suv,2025.0,4445000.0,5890000.0,44.45,58.9,Petrol,Automatic,1998.0,1998.0,201.0,201.0,300.0,300.0,15.0,,,5.0,2.0,,380.0,,Front,6,4.3,7.0,2026-08-30T05:58:11+00:00,51.675,1998.0,201.0,300.0,Petrol,Automatic,Luxury (50L+),15.0
https://www.cardekho.com/mini/countryman,Mini,Countryman,current,Suv,2025.0,6615000.0,6615000.0,66.15,66.15,Petrol,Automatic,1998.0,1998.0,296.0,296.0,400.0,400.0,,,,5.0,6.0,,,149.0,All,1,4.7,3.0,2026-08-30T05:58:12+00:00,66.15,1998.0,296.0,400.0,Petrol,Automatic,Luxury (50L+),
https://www.cardekho.com/mini/countryman-c,Mini,Countryman C,current,Suv,2026.0,4750000.0,4750000.0,47.5,47.5,Electric,Automatic,1.5,1.5,156.0,156.0,240.0,240.0,,,,5.0,6.0,,505.0,,Front,1,4.7,1.0,2026-08-30T06:41:20+00:00,47.5,884.88,156.0,240.0,Electric,Automatic,Premium (25-50L),
https://www.cardekho.com/mini/countryman-electric,Mini,Countryman Electric,current,Suv,2024.0,5565000.0,6070000.0,55.65,60.7,Electric,Automatic,,,313.0,313.0,,,,462.0,66.4,5.0,2.0,,,,Front,2,4.8,3.0,2026-08-30T06:41:21+00:00,58.175,,313.0,,Electric,Automatic,Luxury (50L+),
https://www.cardekho.com/nissan/gtr,Nissan,GTR,current,Coupe,2016.0,21200000.0,21200000.0,212.0,212.0,Petrol,Automatic,3798.0,3798.0,562.2,562.2,637.0,637.0,,,,4.0,6.0,,,,All,0,4.8,22.0,2026-08-30T05:58:19+00:00,212.0,3798.0,562.2,637.0,Petrol,Automatic,Luxury (50L+),
